Language,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill
total,15172,84541,378115,35948,47601,59810,20732,21518,166081,102020,1805,6882,6805,21420,200037,21252,80435,61959,7390,345275,44990,113646,28297,307963,10333,742626,75055,1578,24567,71392,24318,6557,24042,535299,1359,96453
englishOnly,14566,72748,332299,32873,45705,56747,19365,20466,155403,98160,1686,6558,6378,15320,181011,17716,76352,56802,7064,315612,41488,105243,21286,230595,7112,593851,64301,1534,22615,55210,23069,6327,20436,405133,1322,82592
spanish,360-199-161,4912-3810-1102,22019-13998-8021,2151-1401-750,1131-659-472,1882-1236-646,976-763-213,540-359-181,7520-5012-2508,2314-1506-808,104-72-32,203-141-62,243-159-84,5660-2438-3222,15244-9622-5622,2997-1987-1010,2882-2004-878,4126-2448-1678,223-114-109,17211-11856-5355,2772-1840-932,6380-4480-1900,6566-4360-2206,62669-34688-27981,3136-1527-1609,61178-37628-23550,8123-5218-2905,41-28-13,1699-1008-691,15353-8006-7347,700-417-283,111-67-44,3127-1763-1364,66816-39727-27089,27-27-0,11636-6880-4756
french,31-31-0,269-252-17,1244-998-246,219-219-0,70-70-0,64-13-51,13-13-0,52-52-0,241-184-57,100-77-23,0-0-0,25-24-1,5-0-5,107-107-0,398-309-89,16-16-0,236-228-8,152-130-22,0-0-0,945-869-76,52-48-4,163-163-0,3-3-0,517-392-125,2-0-2,4080-3481-599,98-95-3,0-0-0,12-11-1,42-42-0,32-21-11,32-32-0,21-21-0,1758-1449-309,0-0-0,202-195-7
german,81-79-2,529-495-34,1836-1640-196,174-160-14,87-87-0,382-358-24,119-119-0,122-120-2,777-686-91,390-355-35,0-0-0,12-10-2,12-12-0,28-28-0,788-679-109,26-26-0,313-243-70,180-180-0,8-8-0,1610-1486-124,102-93-9,323-308-15,72-67-5,1016-914-102,25-13-12,4407-4144-263,282-258-24,0-0-0,27-27-0,84-80-4,100-100-0,19-19-0,36-20-16,2911-2662-249,5-5-0,614-559-55
russian,25-25-0,258-249-9,5499-3627-1872,56-43-13,31-31-0,69-61-8,85-85-0,78-48-30,121-74-47,95-62-33,0-0-0,14-12-2,0-0-0,116-29-87,222-192-30,9-9-0,23-23-0,56-42-14,13-8-5,598-460-138,26-26-0,293-245-48,17-17-0,4934-3235-1699,0-0-0,16142-8529-7613,185-114-71,0-0-0,2-2-0,64-59-5,20-10-10,15-15-0,62-12-50,3772-2294-1478,0-0-0,207-186-21
indoEuro,23-13-10,866-623-243,3769-2896-873,85-85-0,95-73-22,109-93-16,22-22-0,175-114-61,581-511-70,169-98-71,4-4-0,33-23-10,50-23-27,14-14-0,647-536-111,16-10-6,206-184-22,91-50-41,20-20-0,1708-1440-268,61-54-7,166-135-31,20-12-8,1360-1029-331,8-5-3,9945-6502-3443,360-284-76,0-0-0,106-106-0,102-87-15,71-43-28,29-29-0,41-17-24,13906-10290-3616,0-0-0,232-218-14
korean,15-11-4,580-182-398,866-437-429,10-10-0,4-0-4,71-35-36,0-0-0,0-0-0,231-101-130,130-123-7,0-0-0,0-0-0,0-0-0,59-6-53,226-145-81,20-20-0,0-0-0,25-0-25,0-0-0,995-531-464,55-17-38,66-58-8,0-0-0,209-88-121,0-0-0,1573-805-768,124-105-19,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,4-0-4,4496-2437-2059,0-0-0,138-89-49
chinese,5-5-0,2126-964-1162,3588-2041-1547,58-26-32,126-51-75,133-102-31,1-1-0,61-27-34,202-35-167,141-44-97,5-5-0,19-19-0,0-0-0,63-63-0,344-195-149,45-2-43,33-0-33,114-34-80,11-7-4,2741-1080-1661,100-5-95,152-36-116,147-103-44,935-253-682,0-0-0,10265-4365-5900,492-254-238,0-0-0,30-28-2,4-2-2,26-13-13,0-0-0,6-6-0,7336-4299-3037,1-0-1,371-233-138
viet,34-25-9,273-233-40,1728-829-899,21-0-21,30-13-17,77-36-41,17-17-0,0-0-0,113-0-113,161-109-52,0-0-0,0-0-0,0-0-0,24-0-24,201-5-196,9-9-0,19-0-19,10-6-4,0-0-0,488-301-187,20-15-5,74-57-17,4-4-0,1130-427-703,0-0-0,14332-5044-9288,20-20-0,0-0-0,0-0-0,65-19-46,5-0-5,3-2-1,0-0-0,6070-2462-3608,0-0-0,38-25-13
tagolog,4-0-4,120-95-25,1003-756-247,35-29-6,89-46-43,63-40-23,11-0-11,6-6-0,161-107-54,72-44-28,0-0-0,3-3-0,0-0-0,20-20-0,259-146-113,38-34-4,131-120-11,148-87-61,9-0-9,453-362-91,52-28-24,161-43-118,20-20-0,737-465-272,13-13-0,2680-1943-737,120-117-3,0-0-0,0-0-0,120-63-57,34-13-21,6-0-6,29-22-7,3783-2638-1145,4-4-0,168-135-33
